,ID,Name,Rating,Delivery,Price Tier,Tips,Location,Price,Reservations,Credit Cards,Outdoor Seating,Wi-Fi,Breakfast,Brunch,Lunch,Dessert,BYO,Street Parking,Restroom,Dinner,Full Bar,Wheelchair Accessible,Music,Public Lot,Cocktails,Live Music,Happy Hour,Beer,No,Wine,Private Room,Coat Check,Tasting Menu,Table Service,Take-out,ATM,Bar Snacks,TVs,Jukebox,Valet Parking,Private Lot,Bar Service
0,4a6b229af964a52009ce1fe3,High Point Cafe,8.6,False,1.0,"[""Great Quiche! Too bad it's only available on the weekends."", 'Try the Brioche!']","['19119', 40.04634234328383, -75.19590220363226]",$,No,Yes,Yes,Yes,Breakfast,Brunch,Lunch,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,4abe6d36f964a520828d20e3,Cosimo's Pizza Cafe,7.2,True,1.0,"['bbq chicken wrap is a best kept secret', ""Cosimo's has pretty quick delivery & I've never had anything there that I didn't like.. They make a great burger..yummy!!""]","['19118', 40.077157881520336, -75.2084566438374]",$,No,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,5411e7b7498edd6d453fc219,Malelani cafe,8.2,False,2.0,"['If you want quality service and EXCELLENT food and in the heart of Mt Airy, make this your stop !', 'The falafel platter is amazing. Highly recommended!']","['19119', 40.05314704951357, -75.1861188106294]",$$,,Yes,Yes,Yes,,Brunch,,Dessert,BYO,Street,Yes,,,,,,,,,,,,,,,,,,,,,,,
3,5e9b01a317ca5f0007f04398,Chipotle Mexican Grill,7.5,False,1.0,['Can you bring dessert home please?'],"['19128', 40.0635765, -75.238235]",$,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,4bc0b2c32a89ef3ba3f0f088,Fairlane Grill,7.7,True,1.0,"['Great pancakes!', ""Great milkshakes! Pancakes the size of Nikki Minaj's ass! Quick service! Delicious homefries!""]","['19038', 40.091679, -75.214867]",$,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,4f1c1b1be4b0f67a97697c95,Little Jimmie's Bakery Cafe',8.1,False,1.0,"['Great coffee. Friendly people.', 'Come sit outside in the backyard!']","['19119', 40.051414451183, -75.1850006027188]",$,No,Yes (incl. Discover & MasterCard),Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,4c1118ac6b7e2d7f3aac2835,Dunkin',8.0,False,1.0,"[""they're so nice in the morning I love it! it's also clean and pretty bc it's new. the iced coffee (with cream and sugar) is always perfect too"", 'Do not like Dunkin']","['19150', 40.06723153203835, -75.17827104658613]",$,,Yes,No,Yes,Breakfast,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,4c1eaf1bb306c928d57767b7,Maria's Ristorante,7.5,False,2.0,"['Yummm... Pizza fries.', 'Julia, a server and a bartender, is the best. Ask for her!']","['19128', 40.05669993734317, -75.23625273437834]",$$,Yes,Yes,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,4be6e8212468c9281fcd0143,Toto's Pizzeria,8.3,True,1.0,"['Fast and friendly service', 'I love the stuffed pizza!!!']","['19119', 40.04357029034545, -75.1908096336729]",$,No,Yes (incl. American Express),No,,,,Lunch,,,,,Dinner,,,,,,,,,,,,,,,,,,,,,,
9,4d8a4d921508a1433ee3211e,Tony's Pizza City,7.7,False,1.0,"['Best pizza in the area. Also the nicest people.', 'Anything Tony makes is amazing! His cheesesteaks are to die for :)']","['19038', 40.08230316105886, -75.18932779608281]",$,No,Yes,,,,Brunch,Lunch,,,,,Dinner,,,,,,,,,,,,,,,,,,,,,,
